date,value
20200501,78
20200502,84
20200503,84
20200504,87
20200505,95
20200506,103
20200507,83
20200508,82
20200509,84
20200510,91
20200511,89
20200512,97
20200513,90
20200514,102
20200515,103
20200516,96
20200517,96
20200518,95
20200519,91
20200520,107
20200521,89
20200522,89
20200523,95
20200524,98
20200525,95
20200526,95
20200527,85
20200528,84
20200529,83
20200530,80
20200531,77
20200601,76
20200602,77
20200603,81
20200604,79
20200605,97
20200606,100
20200607,111
20200608,110
20200609,126
20200610,129
20200611,131
20200612,129
20200613,130
20200614,136
20200615,139
20200616,136
20200617,142
20200618,145
20200619,139
20200620,138
20200621,138
20200622,136
20200623,132
20200624,128
20200625,125
20200626,121
20200627,122
20200628,121
20200629,130
20200630,129
20200701,131
20200702,133
20200703,132
20200704,126
20200705,126
20200706,123
20200707,119
20200708,118
20200709,116
20200710,116
20200711,119
20200712,118
20200713,120
20200714,117
20200715,112
20200716,119
20200717,119
20200718,121
20200719,118
20200720,116
20200721,114
20200722,107
20200723,101
20200724,97
20200725,106
20200726,105
20200727,100
20200728,103
20200729,100
20200730,104
20200731,104
20200801,104
