Datum,Datum,luftfeuchtigkeiit,niederschlag10min,cbar20cm,cbar35cm,temp2m,bodentemp20cm,bodentemp35cm,mm,sliding7,sliding13,sliding20,sliding25,sliding30,tempslide25,tempslide7,value
2020-05-01,05.01.20 00:00,96,0.0,3.4,2.9,0.3,3.8,4.3,0.0,,,,,,,,78.0
2020-06-01,06.01.20 00:00,100,0.1,3.5,2.9,-0.9,2.9,3.6,0.0,,,,,,,,76.0
2020-07-01,07.01.20 00:00,99,0.2,3.6,3.0,1.8,2.5,3.2,0.2,0.6000000000000001,,,,,,1.0857142857142856,131.0
2020-08-01,08.01.20 00:00,99,0.0,3.5,3.0,1.4,2.6,3.1,0.0,0.6000000000000001,,,,,,1.4714285714285715,104.0
2020-05-02,05.02.20 00:00,88,1.1,1.9,1.3,1.8,5.0,5.4,1.0999999999999999,34.29999999999999,53.09999999999999,58.399999999999984,58.399999999999984,58.59999999999997,2.8079999999999994,7.442857142857143,84.0
2020-06-02,06.02.20 00:00,88,0.0,2.6,1.9,-0.5,3.9,4.5,0.0,33.39999999999999,53.09999999999999,55.899999999999984,58.399999999999984,58.39999999999997,2.7719999999999994,6.7,77.0
2020-07-02,07.02.20 00:00,91,0.1,2.9,2.2,-0.8,3.0,3.7,0.1,33.29999999999999,53.19999999999999,53.29999999999998,58.499999999999986,58.49999999999997,2.7479999999999993,5.242857142857143,133.0
2020-05-03,05.03.20 00:00,94,10.8,1.9,1.3,5.6,5.2,5.4,8.299999999999997,39.899999999999984,66.1,73.80000000000001,103.4,104.59999999999998,5.899999999999999,5.242857142857143,84.0
2020-06-03,06.03.20 00:00,81,0.8,2.0,1.3,5.4,5.4,5.5,0.7999999999999999,40.69999999999998,66.89999999999999,74.60000000000001,100.4,104.29999999999998,5.715999999999999,5.385714285714286,81.0
2020-07-03,07.03.20 00:00,82,1.5,2.6,1.9,3.6,5.2,5.3,1.2000000000000002,33.499999999999986,68.1,75.80000000000001,93.9,105.49999999999999,5.635999999999999,4.742857142857143,132.0
2020-05-04,05.04.20 00:00,63,0.0,8.6,5.8,8.9,6.9,6.8,0.0,1.4999999999999902,8.4,9.200000000000001,9.3,20.800000000000004,5.836000000000002,4.985714285714286,87.0
2020-06-04,06.04.20 00:00,63,0.0,9.1,6.0,10.6,7.4,7.2,0.0,-9.992007221626409e-15,8.4,9.200000000000001,9.3,19.600000000000005,5.812000000000003,6.3,79.0
2020-07-04,07.04.20 00:00,63,0.0,9.7,6.2,11.8,7.9,7.6,0.0,-9.992007221626409e-15,8.4,8.8,9.3,19.600000000000005,6.0000000000000036,7.685714285714286,126.0
2020-05-05,05.05.20 00:00,99,13.3,2.5,35.7,11.5,12.5,12.1,12.399999999999997,57.49999999999997,79.39999999999998,79.39999999999998,79.39999999999998,79.39999999999999,12.655999999999997,10.828571428571431,95.0
2020-06-05,06.05.20 00:00,81,1.6,1.8,17.4,10.6,12.3,12.0,1.7000000000000002,49.59999999999998,81.09999999999998,81.09999999999998,81.09999999999998,81.1,12.559999999999997,10.828571428571431,97.0
2020-07-05,07.05.20 00:00,73,0.0,3.0,3.0,11.6,11.9,11.8,0.0,44.39999999999998,81.09999999999998,81.09999999999998,81.09999999999998,81.1,12.475999999999999,11.1,126.0
2020-05-13,13.05.20 00:00,99,6.3,3.6,3.8,8.1,12.2,12.3,5.6000000000000005,19.499999999999968,63.89999999999998,100.59999999999997,100.59999999999997,100.59999999999998,12.695999999999996,12.95714285714286,90.0
2020-05-14,14.05.20 00:00,95,5.8,2.0,1.3,8.9,12.0,12.0,5.799999999999999,25.29999999999997,51.599999999999966,106.39999999999996,106.39999999999996,106.39999999999998,12.439999999999996,12.571428571428578,102.0
2020-05-15,15.05.20 00:00,87,0.3,3.0,1.9,10.3,11.9,11.9,0.2,25.499999999999968,40.199999999999974,106.49999999999997,106.59999999999997,106.59999999999998,12.279999999999996,11.771428571428576,103.0
2020-05-16,16.05.20 00:00,81,0.0,3.9,2.5,10.8,11.7,11.7,0.0,25.499999999999968,40.09999999999997,105.49999999999997,106.59999999999997,106.59999999999998,12.207999999999995,10.65714285714286,96.0
2020-05-17,17.05.20 00:00,73,0.0,4.4,3.2,13.7,12.2,11.9,0.0,24.399999999999967,39.59999999999997,105.49999999999997,106.59999999999997,106.59999999999998,12.211999999999994,10.014285714285718,96.0
