Datum,Datum,luftfeuchtigkeiit,niederschlag10min,cbar20cm,cbar35cm,temp2m,bodentemp20cm,bodentemp35cm,mm,sliding7,sliding13,sliding20,sliding25,sliding30,tempslide25,tempslide7
2020-01-01,01.01.20 00:00,100,0.0,3.2,2.6,-1.3,3.6,4.1,0.0,,,,,,,
2020-02-01,02.01.20 00:00,100,0.0,3.2,2.7,-0.9,3.3,3.9,0.0,,,,,,,
2020-03-01,03.01.20 00:00,99,0.4,3.3,2.8,3.1,3.6,3.9,0.2,,,,,,,
2020-04-01,04.01.20 00:00,88,0.2,3.4,2.8,5.5,4.3,4.4,0.2,,,,,,,
2020-05-01,05.01.20 00:00,96,0.0,3.4,2.9,0.3,3.8,4.3,0.0,,,,,,,
2020-06-01,06.01.20 00:00,100,0.1,3.5,2.9,-0.9,2.9,3.6,0.0,,,,,,,
2020-07-01,07.01.20 00:00,99,0.2,3.6,3.0,1.8,2.5,3.2,0.2,0.6000000000000001,,,,,,1.0857142857142856
2020-08-01,08.01.20 00:00,99,0.0,3.5,3.0,1.4,2.6,3.1,0.0,0.6000000000000001,,,,,,1.4714285714285715
2020-09-01,09.01.20 00:00,86,0.0,3.3,2.8,3.3,2.7,3.2,0.0,0.6000000000000001,,,,,,2.0714285714285716
2020-10-01,10.01.20 00:00,81,0.0,3.4,2.9,6.9,3.1,3.3,0.0,0.4000000000000001,,,,,,2.6142857142857143
2020-11-01,11.01.20 00:00,92,0.0,3.6,3.0,4.1,3.7,3.8,0.0,0.20000000000000007,,,,,,2.414285714285714
2020-12-01,12.01.20 00:00,98,0.0,3.7,3.1,0.4,3.3,3.7,0.0,0.20000000000000007,,,,,,2.428571428571428
2020-01-13,13.01.20 00:00,96,0.0,3.8,3.1,-0.2,2.7,3.3,0.0,0.20000000000000007,0.6000000000000001,,,,,2.528571428571428
2020-01-14,14.01.20 00:00,89,0.0,3.9,3.2,1.3,2.4,3.0,0.0,5.551115123125783e-17,0.6000000000000001,,,,,2.4571428571428564
2020-01-15,15.01.20 00:00,84,0.0,4.1,3.3,3.4,2.1,2.7,0.0,5.551115123125783e-17,0.6000000000000001,,,,,2.7428571428571424
2020-01-16,16.01.20 00:00,91,0.0,4.1,3.3,3.5,2.0,2.6,0.0,5.551115123125783e-17,0.4000000000000001,,,,,2.771428571428571
2020-01-17,17.01.20 00:00,97,4.2,4.1,3.3,2.1,1.9,2.5,2.5000000000000013,2.5000000000000013,2.700000000000001,,,,,2.085714285714285
2020-01-18,18.01.20 00:00,96,2.6,1.8,2.0,3.0,2.3,2.6,2.7000000000000006,5.200000000000002,5.400000000000002,,,,,1.9285714285714277
2020-01-19,19.01.20 00:00,94,0.1,1.8,1.2,-0.2,2.2,2.7,0.1,5.300000000000002,5.500000000000002,,,,,1.842857142857142
2020-01-20,20.01.20 00:00,84,0.0,2.1,1.4,0.8,2.0,2.5,0.0,5.300000000000002,5.300000000000002,5.900000000000002,,,,1.985714285714285
2020-01-21,21.01.20 00:00,97,0.0,2.4,1.7,-2.6,1.8,2.3,0.0,5.300000000000002,5.300000000000002,5.900000000000002,,,,1.4285714285714277
2020-01-22,22.01.20 00:00,100,0.0,2.8,2.0,-3.1,1.6,2.1,0.0,5.300000000000002,5.300000000000002,5.900000000000002,,,,0.4999999999999993
2020-01-23,23.01.20 00:00,99,0.0,3.1,2.3,-2.1,1.5,2.0,0.0,5.300000000000002,5.300000000000002,5.700000000000002,,,,-0.3000000000000007
2020-01-24,24.01.20 00:00,98,0.0,3.2,2.4,-1.0,1.4,1.9,0.0,2.8000000000000003,5.300000000000002,5.500000000000002,,,,-0.7428571428571435
2020-01-25,25.01.20 00:00,100,0.0,3.3,2.5,-1.1,1.4,1.9,0.0,0.09999999999999964,5.300000000000002,5.500000000000002,5.900000000000002,,1.0999999999999996,-1.3285714285714292
2020-01-26,26.01.20 00:00,98,0.5,3.3,2.5,0.7,1.4,1.8,0.30000000000000004,0.2999999999999997,5.600000000000001,5.800000000000002,6.200000000000002,,1.1799999999999997,-1.2000000000000008
2020-01-27,27.01.20 00:00,94,0.6,2.6,2.3,4.9,1.9,2.0,0.4,0.6999999999999997,6.000000000000002,6.000000000000002,6.600000000000002,,1.4119999999999997,-0.614285714285715
2020-01-28,28.01.20 00:00,90,14.9,1.3,1.1,4.8,2.9,2.7,10.099999999999994,10.799999999999994,16.099999999999994,16.099999999999994,16.499999999999996,,1.4799999999999995,0.4428571428571421
2020-01-29,29.01.20 00:00,98,9.1,0.7,0.4,3.5,2.8,2.9,7.999999999999999,18.799999999999994,24.099999999999994,24.099999999999994,24.299999999999997,,1.3999999999999995,1.3857142857142848
2020-01-30,30.01.20 00:00,92,1.4,1.8,1.2,4.7,2.9,3.0,0.8999999999999999,19.699999999999992,22.499999999999993,24.999999999999993,25.199999999999996,25.599999999999994,1.5759999999999996,2.3571428571428568
2020-01-31,31.01.20 00:00,96,0.1,2.1,1.4,9.4,4.1,3.7,0.2,19.89999999999999,19.999999999999993,25.199999999999992,25.399999999999995,25.799999999999994,1.9879999999999995,3.8428571428571425
2020-01-02,01.02.20 00:00,95,7.9,2.2,1.6,8.6,4.6,4.3,5.8,25.699999999999992,25.699999999999992,30.999999999999993,30.999999999999996,31.599999999999994,2.26,5.228571428571429
2020-02-02,02.02.20 00:00,94,8.7,1.2,0.7,10.5,5.5,5.0,7.500000000000003,32.9,33.199999999999996,38.49999999999999,38.5,38.89999999999999,2.6239999999999997,6.628571428571428
2020-03-02,03.02.20 00:00,86,7.7,1.1,0.7,12.5,6.6,6.0,7.099999999999996,39.599999999999994,40.29999999999999,45.59999999999999,45.599999999999994,45.79999999999998,2.992,7.714285714285714
2020-04-02,04.02.20 00:00,89,12.8,1.1,0.6,4.6,6.4,6.3,11.699999999999992,41.19999999999999,51.999999999999986,57.29999999999998,57.29999999999998,57.49999999999997,2.8999999999999995,7.685714285714286
2020-05-02,05.02.20 00:00,88,1.1,1.9,1.3,1.8,5.0,5.4,1.0999999999999999,34.29999999999999,53.09999999999999,58.399999999999984,58.399999999999984,58.59999999999997,2.8079999999999994,7.442857142857143
2020-06-02,06.02.20 00:00,88,0.0,2.6,1.9,-0.5,3.9,4.5,0.0,33.39999999999999,53.09999999999999,55.899999999999984,58.399999999999984,58.39999999999997,2.7719999999999994,6.7
2020-07-02,07.02.20 00:00,91,0.1,2.9,2.2,-0.8,3.0,3.7,0.1,33.29999999999999,53.19999999999999,53.29999999999998,58.499999999999986,58.49999999999997,2.7479999999999993,5.242857142857143
2020-08-02,08.02.20 00:00,91,0.0,3.1,2.4,0.0,2.4,3.1,0.0,27.49999999999999,52.89999999999999,53.19999999999998,58.499999999999986,58.49999999999997,2.6959999999999997,4.014285714285714
2020-09-02,09.02.20 00:00,78,0.1,3.2,2.5,5.0,2.2,2.8,0.0,19.999999999999986,52.49999999999999,53.19999999999998,58.499999999999986,58.49999999999997,2.7599999999999993,3.2285714285714286
2020-10-02,10.02.20 00:00,76,5.5,2.4,1.9,10.0,3.7,3.4,3.800000000000001,16.69999999999999,46.2,56.999999999999986,62.29999999999999,62.299999999999976,3.0199999999999996,2.8714285714285714
2020-11-02,11.02.20 00:00,84,13.6,1.1,0.7,5.6,4.5,4.4,7.699999999999998,12.699999999999996,45.9,64.69999999999999,67.49999999999999,69.99999999999997,3.1599999999999993,3.0142857142857147
2020-12-02,12.02.20 00:00,87,4.9,1.1,0.7,3.2,3.9,4.1,6.899999999999998,18.499999999999993,51.9,71.59999999999998,71.69999999999997,76.89999999999996,3.1679999999999997,3.2142857142857144
2020-02-13,13.02.20 00:00,89,12.9,1.7,1.2,3.1,3.5,3.8,10.2,28.699999999999992,61.89999999999999,81.79999999999998,81.79999999999998,87.09999999999997,3.2999999999999994,3.7285714285714286
2020-02-14,14.02.20 00:00,89,1.0,1.5,1.0,5.5,4.0,4.0,0.9999999999999999,29.59999999999999,57.099999999999994,82.79999999999998,82.79999999999998,88.09999999999997,3.4879999999999995,4.628571428571428
2020-02-15,15.02.20 00:00,93,0.1,2.4,1.8,3.2,3.9,4.1,0.0,29.59999999999999,49.599999999999994,82.49999999999999,82.79999999999998,88.09999999999997,3.7199999999999993,5.085714285714286
2020-02-16,16.02.20 00:00,74,0.0,2.8,2.1,8.4,3.9,4.1,0.0,29.59999999999999,42.5,82.09999999999998,82.79999999999998,85.59999999999997,4.18,5.571428571428571
2020-02-17,17.02.20 00:00,82,4.2,3.0,2.3,9.2,4.9,4.7,1.7000000000000006,27.49999999999999,32.500000000000014,73.69999999999999,84.49999999999999,84.59999999999997,4.632,5.457142857142857
2020-02-18,18.02.20 00:00,83,0.0,2.1,1.6,4.4,4.8,4.9,1.4000000000000001,21.19999999999999,32.80000000000001,67.1,85.89999999999999,85.89999999999998,4.848,5.285714285714286
2020-02-19,19.02.20 00:00,80,5.8,1.8,1.3,4.4,4.4,4.6,4.200000000000001,18.499999999999993,37.000000000000014,70.39999999999999,90.1,90.09999999999998,5.068,5.457142857142856
2020-02-20,20.02.20 00:00,80,0.0,2.0,1.4,5.6,4.3,4.5,0.0,8.299999999999994,36.90000000000001,70.19999999999999,89.8,90.09999999999998,5.263999999999999,5.814285714285714
2020-02-21,21.02.20 00:00,72,0.5,2.7,2.0,5.3,4.7,4.7,0.4,7.699999999999994,37.30000000000001,64.8,89.8,90.49999999999999,5.28,5.785714285714285
2020-02-22,22.02.20 00:00,76,0.0,3.0,2.3,5.4,4.3,4.6,0.0,7.699999999999994,37.30000000000001,57.3,79.7,90.49999999999999,5.303999999999999,6.099999999999999
2020-02-23,23.02.20 00:00,49,0.0,3.4,2.6,12.7,5.0,4.9,0.0,7.699999999999994,33.50000000000001,50.2,71.7,90.49999999999999,5.672,6.7142857142857135
2020-02-24,24.02.20 00:00,65,0.0,3.7,2.8,13.6,6.2,5.8,0.0,5.999999999999993,25.800000000000008,38.500000000000014,70.8,90.49999999999999,6.028,7.342857142857142
2020-02-25,25.02.20 00:00,83,11.0,3.6,2.9,7.5,6.2,6.1,8.200000000000001,12.799999999999994,27.10000000000001,45.600000000000016,78.8,98.39999999999999,5.951999999999999,7.785714285714285
2020-02-26,26.02.20 00:00,93,12.2,0.9,0.7,1.8,5.4,5.7,11.1,19.69999999999999,28.00000000000001,56.70000000000002,84.1,109.09999999999998,5.68,7.414285714285713
2020-02-27,27.02.20 00:00,90,9.5,1.6,1.0,1.9,4.4,4.9,6.899999999999997,26.599999999999987,33.900000000000006,63.500000000000014,83.49999999999999,105.89999999999998,5.336,6.885714285714284
2020-02-28,28.02.20 00:00,65,0.0,1.9,1.3,4.4,4.1,4.4,0.0,26.19999999999999,33.900000000000006,63.500000000000014,76.39999999999999,97.89999999999998,5.0120000000000005,6.757142857142855
2020-02-29,29.02.20 00:00,73,14.5,2.5,1.8,8.1,4.9,4.9,8.400000000000002,34.599999999999994,42.30000000000001,71.90000000000002,73.10000000000001,105.39999999999998,5.152,7.1428571428571415
2020-01-03,01.03.20 00:00,83,7.5,1.4,0.9,7.6,5.8,5.5,9.099999999999996,43.69999999999999,49.7,77.20000000000002,81.10000000000001,114.29999999999997,5.3839999999999995,6.414285714285713
2020-02-03,02.03.20 00:00,94,7.5,2.2,1.5,3.6,5.5,5.7,3.4000000000000012,47.09999999999999,51.7,72.90000000000002,84.50000000000001,111.89999999999998,5.547999999999999,4.985714285714285
2020-03-03,03.03.20 00:00,81,7.4,1.5,1.0,3.7,5.2,5.4,9.099999999999998,47.999999999999986,56.599999999999994,75.10000000000002,93.50000000000001,113.49999999999997,5.728,4.442857142857142
2020-04-03,04.03.20 00:00,81,1.8,2.4,1.7,3.7,5.0,5.2,1.6000000000000003,38.499999999999986,58.199999999999996,66.50000000000001,95.10000000000001,107.99999999999997,5.8759999999999994,4.714285714285714
2020-05-03,05.03.20 00:00,94,10.8,1.9,1.3,5.6,5.2,5.4,8.299999999999997,39.899999999999984,66.1,73.80000000000001,103.4,104.59999999999998,5.899999999999999,5.242857142857143
2020-06-03,06.03.20 00:00,81,0.8,2.0,1.3,5.4,5.4,5.5,0.7999999999999999,40.69999999999998,66.89999999999999,74.60000000000001,100.4,104.29999999999998,5.715999999999999,5.385714285714286
2020-07-03,07.03.20 00:00,82,1.5,2.6,1.9,3.6,5.2,5.3,1.2000000000000002,33.499999999999986,68.1,75.80000000000001,93.9,105.49999999999999,5.635999999999999,4.742857142857143
2020-08-03,08.03.20 00:00,80,0.0,3.0,2.2,3.1,4.7,5.0,0.0,24.39999999999999,68.1,74.10000000000001,87.00000000000001,105.39999999999999,5.632,4.1000000000000005
2020-09-03,09.03.20 00:00,89,3.2,2.9,2.2,5.4,5.2,5.2,2.2000000000000006,23.19999999999999,62.099999999999994,74.9,79.00000000000001,107.6,5.724,4.357142857142857
2020-10-03,10.03.20 00:00,96,10.5,1.9,1.5,4.4,5.1,5.3,7.899999999999999,21.99999999999999,58.9,78.60000000000001,85.9,115.5,5.68,4.457142857142857
2020-11-03,11.03.20 00:00,85,0.0,2.1,1.4,11.3,6.0,5.7,0.2,20.599999999999987,52.2,78.80000000000001,86.10000000000001,111.9,6.004000000000001,5.542857142857143
2020-12-03,12.03.20 00:00,82,0.0,3.0,2.1,11.2,6.9,6.5,0.0,12.29999999999999,52.2,78.4,86.10000000000001,104.2,6.1160000000000005,6.3428571428571425
2020-03-13,13.03.20 00:00,70,0.0,3.5,2.6,7.1,7.3,6.9,0.0,11.49999999999999,43.8,78.4,84.4,97.30000000000001,6.032,6.585714285714286
2020-03-14,14.03.20 00:00,80,0.0,3.8,2.9,4.0,6.4,6.6,0.0,10.29999999999999,34.7,78.4,83.0,87.10000000000001,6.016,6.642857142857143
2020-03-15,15.03.20 00:00,82,0.0,4.0,3.1,5.3,6.1,6.3,0.0,10.29999999999999,31.3,78.4,78.8,86.10000000000001,6.0520000000000005,6.957142857142856
2020-03-16,16.03.20 00:00,80,0.0,4.3,3.3,7.7,6.3,6.3,0.1,8.199999999999989,22.300000000000004,70.3,78.89999999999999,86.2,6.136,7.285714285714286
2020-03-17,17.03.20 00:00,81,0.0,4.6,3.5,9.1,7.0,6.8,0.0,0.29999999999999005,20.700000000000003,59.199999999999996,78.49999999999999,86.2,6.287999999999999,7.957142857142857
2020-03-18,18.03.20 00:00,81,0.0,4.8,3.6,9.8,7.4,7.2,0.4,0.49999999999999006,12.800000000000004,52.699999999999996,78.89999999999999,84.9,6.4639999999999995,7.742857142857143
2020-03-19,19.03.20 00:00,82,0.0,5.1,3.8,10.3,7.7,7.5,0.0,0.49999999999999006,12.000000000000004,52.699999999999996,78.89999999999999,83.5,6.368,7.614285714285714
2020-03-20,20.03.20 00:00,84,0.4,5.3,3.9,11.0,8.2,7.9,0.4,0.8999999999999901,11.200000000000003,44.69999999999999,79.3,79.7,6.264000000000001,8.17142857142857
2020-03-21,21.03.20 00:00,95,0.0,5.5,4.1,6.1,8.3,8.1,0.0,0.8999999999999901,11.200000000000003,35.599999999999994,71.1,79.7,6.208000000000001,8.471428571428572
2020-03-22,22.03.20 00:00,75,0.0,5.8,4.1,3.9,7.4,7.7,0.0,0.8999999999999901,9.000000000000002,32.199999999999996,59.99999999999999,79.3,6.292000000000001,8.27142857142857
2020-03-23,23.03.20 00:00,51,0.0,6.0,4.2,2.3,6.4,6.9,0.0,0.7999999999999902,1.1000000000000032,23.099999999999998,53.099999999999994,79.3,6.308000000000001,7.499999999999999
2020-03-24,24.03.20 00:00,48,0.0,6.3,4.3,2.3,5.8,6.4,0.0,0.7999999999999902,0.9000000000000032,21.499999999999996,53.099999999999994,79.3,6.224000000000001,6.528571428571427
2020-03-25,25.03.20 00:00,53,0.0,6.6,4.4,2.5,5.6,6.1,0.0,0.39999999999999014,0.9000000000000032,13.2,44.69999999999999,79.3,6.000000000000001,5.485714285714285
2020-03-26,26.03.20 00:00,66,0.0,6.9,4.5,1.6,5.4,5.9,0.0,0.39999999999999014,0.9000000000000032,12.399999999999999,35.599999999999994,71.1,5.760000000000002,4.242857142857142
