Datum,luftfeuchtigkeiit,niederschlag10min,cbar20cm,cbar35cm,temp2m,bodentemp20cm,bodentemp35cm
01.01.20 00:00,100,0,3.2,2.6,-1.3,3.6,4.1
02.01.20 00:00,100,0,3.2,2.7,-0.9,3.3,3.9
03.01.20 00:00,99,0.4,3.3,2.8,3.1,3.6,3.9
04.01.20 00:00,88,0.2,3.4,2.8,5.5,4.3,4.4
05.01.20 00:00,96,0,3.4,2.9,0.3,3.8,4.3
06.01.20 00:00,100,0.1,3.5,2.9,-0.9,2.9,3.6
07.01.20 00:00,99,0.2,3.6,3,1.8,2.5,3.2
08.01.20 00:00,99,0,3.5,3,1.4,2.6,3.1
09.01.20 00:00,86,0,3.3,2.8,3.3,2.7,3.2
10.01.20 00:00,81,0,3.4,2.9,6.9,3.1,3.3
11.01.20 00:00,92,0,3.6,3,4.1,3.7,3.8
12.01.20 00:00,98,0,3.7,3.1,0.4,3.3,3.7
13.01.20 00:00,96,0,3.8,3.1,-0.2,2.7,3.3
14.01.20 00:00,89,0,3.9,3.2,1.3,2.4,3
15.01.20 00:00,84,0,4.1,3.3,3.4,2.1,2.7
16.01.20 00:00,91,0,4.1,3.3,3.5,2,2.6
17.01.20 00:00,97,4.2,4.1,3.3,2.1,1.9,2.5
18.01.20 00:00,96,2.6,1.8,2,3,2.3,2.6
19.01.20 00:00,94,0.1,1.8,1.2,-0.2,2.2,2.7
20.01.20 00:00,84,0,2.1,1.4,0.8,2,2.5
21.01.20 00:00,97,0,2.4,1.7,-2.6,1.8,2.3
22.01.20 00:00,100,0,2.8,2,-3.1,1.6,2.1
23.01.20 00:00,99,0,3.1,2.3,-2.1,1.5,2
24.01.20 00:00,98,0,3.2,2.4,-1,1.4,1.9
25.01.20 00:00,100,0,3.3,2.5,-1.1,1.4,1.9
26.01.20 00:00,98,0.5,3.3,2.5,0.7,1.4,1.8
27.01.20 00:00,94,0.6,2.6,2.3,4.9,1.9,2
28.01.20 00:00,90,14.9,1.3,1.1,4.8,2.9,2.7
29.01.20 00:00,98,9.1,0.7,0.4,3.5,2.8,2.9
30.01.20 00:00,92,1.4,1.8,1.2,4.7,2.9,3
31.01.20 00:00,96,0.1,2.1,1.4,9.4,4.1,3.7
01.02.20 00:00,95,7.9,2.2,1.6,8.6,4.6,4.3
02.02.20 00:00,94,8.7,1.2,0.7,10.5,5.5,5
03.02.20 00:00,86,7.7,1.1,0.7,12.5,6.6,6
04.02.20 00:00,89,12.8,1.1,0.6,4.6,6.4,6.3
05.02.20 00:00,88,1.1,1.9,1.3,1.8,5,5.4
06.02.20 00:00,88,0,2.6,1.9,-0.5,3.9,4.5
07.02.20 00:00,91,0.1,2.9,2.2,-0.8,3,3.7
08.02.20 00:00,91,0,3.1,2.4,0,2.4,3.1
09.02.20 00:00,78,0.1,3.2,2.5,5,2.2,2.8
10.02.20 00:00,76,5.5,2.4,1.9,10,3.7,3.4
11.02.20 00:00,84,13.6,1.1,0.7,5.6,4.5,4.4
12.02.20 00:00,87,4.9,1.1,0.7,3.2,3.9,4.1
13.02.20 00:00,89,12.9,1.7,1.2,3.1,3.5,3.8
14.02.20 00:00,89,1,1.5,1,5.5,4,4
15.02.20 00:00,93,0.1,2.4,1.8,3.2,3.9,4.1
16.02.20 00:00,74,0,2.8,2.1,8.4,3.9,4.1
17.02.20 00:00,82,4.2,3,2.3,9.2,4.9,4.7
18.02.20 00:00,83,0,2.1,1.6,4.4,4.8,4.9
19.02.20 00:00,80,5.8,1.8,1.3,4.4,4.4,4.6
20.02.20 00:00,80,0,2,1.4,5.6,4.3,4.5
21.02.20 00:00,72,0.5,2.7,2,5.3,4.7,4.7
22.02.20 00:00,76,0,3,2.3,5.4,4.3,4.6
23.02.20 00:00,49,0,3.4,2.6,12.7,5,4.9
24.02.20 00:00,65,0,3.7,2.8,13.6,6.2,5.8
25.02.20 00:00,83,11,3.6,2.9,7.5,6.2,6.1
26.02.20 00:00,93,12.2,0.9,0.7,1.8,5.4,5.7
27.02.20 00:00,90,9.5,1.6,1,1.9,4.4,4.9
28.02.20 00:00,65,0,1.9,1.3,4.4,4.1,4.4
29.02.20 00:00,73,14.5,2.5,1.8,8.1,4.9,4.9
01.03.20 00:00,83,7.5,1.4,0.9,7.6,5.8,5.5
02.03.20 00:00,94,7.5,2.2,1.5,3.6,5.5,5.7
03.03.20 00:00,81,7.4,1.5,1,3.7,5.2,5.4
04.03.20 00:00,81,1.8,2.4,1.7,3.7,5,5.2
05.03.20 00:00,94,10.8,1.9,1.3,5.6,5.2,5.4
06.03.20 00:00,81,0.8,2,1.3,5.4,5.4,5.5
07.03.20 00:00,82,1.5,2.6,1.9,3.6,5.2,5.3
08.03.20 00:00,80,0,3,2.2,3.1,4.7,5
09.03.20 00:00,89,3.2,2.9,2.2,5.4,5.2,5.2
10.03.20 00:00,96,10.5,1.9,1.5,4.4,5.1,5.3
11.03.20 00:00,85,0,2.1,1.4,11.3,6,5.7
12.03.20 00:00,82,0,3,2.1,11.2,6.9,6.5
13.03.20 00:00,70,0,3.5,2.6,7.1,7.3,6.9
14.03.20 00:00,80,0,3.8,2.9,4,6.4,6.6
15.03.20 00:00,82,0,4,3.1,5.3,6.1,6.3
16.03.20 00:00,80,0,4.3,3.3,7.7,6.3,6.3
17.03.20 00:00,81,0,4.6,3.5,9.1,7,6.8
18.03.20 00:00,81,0,4.8,3.6,9.8,7.4,7.2
19.03.20 00:00,82,0,5.1,3.8,10.3,7.7,7.5
20.03.20 00:00,84,0.4,5.3,3.9,11,8.2,7.9
21.03.20 00:00,95,0,5.5,4.1,6.1,8.3,8.1
